               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12538,             0.10496,            0.029471,                   0,                   0,                   0,                   0,             0.12417,             0.09029,             0.03111,              0.0964,              0.0004,              0.0004
                   1,             0.12181,              0.1173,            0.029354,                   0,                   0,                   0,                   0,              0.1165,             0.10662,            0.030453,            0.091882,          0.00088218,          0.00088218
                   2,             0.11565,             0.13698,            0.028906,           0.0045785,            0.010908,           0.0023226,           0.0005503,              0.1081,             0.12673,            0.028502,            0.087345,           0.0013446,           0.0013446
                   3,             0.10991,             0.16749,            0.028281,           0.0058271,            0.014112,           0.0031917,          0.00061662,             0.10375,             0.13546,            0.027652,            0.082787,           0.0017871,           0.0017871
                   4,             0.10822,             0.16916,            0.027941,           0.0084272,            0.019566,           0.0048627,           0.0010406,             0.10047,             0.13812,            0.027307,             0.07821,           0.0022099,           0.0022099
                   5,             0.10389,             0.15139,            0.027655,           0.0090604,            0.014112,           0.0063402,           0.0017549,            0.097786,             0.14051,             0.02668,            0.073613,           0.0026129,           0.0026129
                   6,             0.10162,             0.16578,            0.027104,             0.01192,            0.018441,           0.0066912,            0.002106,            0.095695,             0.13986,            0.025833,            0.068996,           0.0029961,           0.0029961
                   7,            0.099499,             0.17688,            0.026496,            0.018034,            0.028309,            0.011047,           0.0028802,            0.094379,             0.13749,            0.025193,            0.064359,           0.0033595,           0.0033595
                   8,            0.098434,             0.18075,            0.025811,            0.015559,            0.038178,            0.013115,           0.0034713,            0.091413,             0.13988,             0.02427,            0.059703,            0.003703,            0.003703
                   9,            0.095457,             0.18311,            0.025189,            0.036193,            0.055779,            0.019265,           0.0047841,            0.089969,             0.13777,            0.023521,            0.055027,           0.0040268,           0.0040268
                  10,            0.089819,             0.16415,            0.024541,            0.038469,            0.090724,            0.025829,           0.0064373,            0.087767,             0.13925,            0.022612,            0.050331,           0.0043308,           0.0043308
                  11,            0.088685,             0.17179,            0.023922,             0.12157,             0.10276,            0.040274,           0.0099893,            0.085826,             0.13906,            0.021843,            0.045615,            0.004615,            0.004615
                  12,            0.090405,             0.17655,            0.023658,            0.094636,            0.096178,            0.045646,            0.011249,            0.094435,             0.14709,            0.021121,            0.040879,           0.0048794,           0.0048794
                  13,            0.089617,             0.14933,            0.022686,             0.14645,             0.12795,            0.068756,            0.018839,            0.087489,             0.14058,            0.019864,            0.036124,           0.0051239,           0.0051239
                  14,            0.084328,             0.16373,            0.022012,             0.14181,             0.14886,            0.072604,            0.017955,             0.08746,             0.16471,            0.018382,            0.031349,           0.0053487,           0.0053487
                  15,            0.083539,             0.15873,            0.021364,             0.12709,             0.25954,             0.10426,            0.028186,            0.081231,             0.15932,            0.017647,            0.026554,           0.0055537,           0.0055537
                  16,            0.079494,             0.17111,            0.019997,            0.082831,              0.2262,            0.056897,            0.014404,            0.093892,             0.20015,            0.015543,            0.021739,           0.0057389,           0.0057389
                  17,             0.08499,             0.16155,            0.019187,             0.14466,             0.32533,              0.1423,            0.035187,            0.081772,             0.16217,            0.014208,            0.016904,           0.0059043,           0.0059043
                  18,            0.083666,             0.14531,            0.017979,            0.074433,             0.28102,             0.05777,            0.013932,            0.090733,             0.14087,            0.013606,             0.01205,           0.0060498,           0.0060498
                  19,            0.077288,             0.14625,              0.0166,             0.14993,             0.27166,            0.095949,            0.025229,            0.084865,             0.15615,            0.011032,           0.0071756,           0.0061756,           0.0061756
                  20,            0.084807,             0.16142,            0.015868,             0.20456,             0.43871,               0.182,             0.04603,             0.07903,             0.15598,            0.010704,             0.00604,             0.00604,             0.00604
                  21,            0.082489,             0.15448,            0.014031,             0.12047,             0.21262,            0.091727,              0.0234,            0.087905,             0.16288,           0.0096021,             0.00604,             0.00604,             0.00604
                  22,            0.080069,             0.17548,            0.013347,             0.32521,             0.42119,              0.2772,            0.075328,            0.072921,              0.1665,           0.0092077,            0.005842,            0.005842,            0.005842
                  23,            0.072552,             0.16962,            0.012414,             0.21997,             0.40412,             0.18965,            0.048925,            0.079929,             0.17187,           0.0079986,            0.005644,            0.005644,            0.005644
                  24,            0.076978,             0.15277,            0.010183,             0.27676,             0.43105,             0.22137,            0.051165,            0.076979,             0.15813,           0.0076272,            0.005446,            0.005446,            0.005446
                  25,             0.07785,             0.16067,           0.0099875,             0.27866,             0.41883,              0.2498,            0.062419,            0.076201,             0.15211,           0.0072234,            0.005248,            0.005248,            0.005248
                  26,            0.072887,             0.15959,           0.0088883,             0.34174,             0.40255,             0.26344,            0.066054,            0.072026,             0.14814,           0.0071576,             0.00505,             0.00505,             0.00505
                  27,            0.070318,              0.1519,           0.0081892,             0.19492,             0.43744,             0.15361,            0.042928,            0.081275,              0.1458,           0.0067499,            0.004852,            0.004852,            0.004852
                  28,            0.078787,             0.14128,           0.0076738,             0.31094,             0.44359,             0.24973,            0.068889,            0.070888,             0.13766,            0.006627,            0.004654,            0.004654,            0.004654
                  29,            0.072128,             0.15513,           0.0075585,             0.26546,             0.48308,             0.23476,            0.066971,            0.070888,             0.14514,           0.0065953,            0.004456,            0.004456,            0.004456
                  30,            0.070883,             0.16146,           0.0077998,             0.42434,             0.48827,             0.36454,             0.10606,            0.067616,             0.14306,           0.0063233,            0.004258,            0.004258,            0.004258
                  31,            0.067625,             0.16117,           0.0067295,             0.31615,             0.36395,             0.24905,            0.060849,            0.073176,             0.14168,           0.0059682,             0.00406,             0.00406,             0.00406
                  32,            0.075593,             0.16065,           0.0068942,              0.5166,             0.52959,              0.4297,             0.12598,            0.064254,             0.14008,           0.0059437,            0.003862,            0.003862,            0.003862
                  33,            0.067288,             0.15901,           0.0064042,             0.42469,             0.48088,             0.39808,              0.1129,            0.067835,             0.13996,           0.0059331,            0.003664,            0.003664,            0.003664
                  34,            0.068448,             0.15361,           0.0057842,             0.43597,             0.53242,              0.3422,              0.1012,            0.067904,             0.13934,           0.0059557,            0.003466,            0.003466,            0.003466
                  35,            0.067544,             0.15804,            0.006138,             0.31322,             0.49321,             0.30114,             0.08532,            0.069368,             0.13583,           0.0060965,            0.003268,            0.003268,            0.003268
                  36,            0.069831,             0.15411,           0.0059172,             0.52167,             0.52784,             0.46797,             0.14261,            0.062765,             0.13258,           0.0060912,             0.00307,             0.00307,             0.00307
                  37,            0.065816,              0.1512,           0.0054153,             0.40932,             0.48031,             0.37848,             0.10167,             0.06613,             0.13098,           0.0057782,            0.002872,            0.002872,            0.002872
                  38,            0.065569,             0.16077,           0.0056331,             0.56745,             0.54071,             0.49682,             0.15614,            0.061024,             0.13415,           0.0056677,            0.002674,            0.002674,            0.002674
                  39,             0.06395,             0.15199,           0.0055083,             0.48177,             0.49234,             0.41485,             0.12607,            0.063224,             0.12887,           0.0055984,            0.002476,            0.002476,            0.002476
                  40,            0.064793,             0.16121,           0.0053281,             0.61277,             0.55424,             0.54265,              0.1725,            0.060066,             0.13011,           0.0055989,            0.002278,            0.002278,            0.002278
                  41,             0.06556,             0.17729,           0.0056499,             0.52465,             0.52135,             0.48752,             0.13115,            0.062008,             0.13052,           0.0055059,             0.00208,             0.00208,             0.00208
                  42,            0.064665,             0.14815,           0.0053667,             0.64881,             0.57709,             0.58041,              0.1821,            0.059168,             0.13122,           0.0054424,            0.001882,            0.001882,            0.001882
                  43,             0.06355,             0.16042,           0.0054655,             0.64804,             0.60133,             0.59401,             0.18008,            0.059137,             0.12879,           0.0053232,            0.001684,            0.001684,            0.001684
                  44,            0.061363,             0.15381,           0.0048505,             0.61601,             0.56462,             0.55747,             0.16651,            0.059193,             0.12863,           0.0053041,            0.001486,            0.001486,            0.001486
                  45,            0.063243,              0.1651,           0.0051521,             0.62503,               0.568,             0.56797,             0.16876,             0.05945,             0.12774,           0.0052966,            0.001288,            0.001288,            0.001288
                  46,            0.063362,             0.14925,           0.0050754,             0.70262,             0.58305,             0.61621,             0.18841,             0.05862,             0.12671,           0.0052941,             0.00109,             0.00109,             0.00109
                  47,            0.061998,              0.1595,           0.0050588,             0.72398,             0.58817,              0.6367,             0.19074,            0.058281,             0.12607,           0.0052974,            0.000892,            0.000892,            0.000892
                  48,              0.0618,             0.15568,           0.0049685,             0.70056,             0.59692,             0.62933,             0.18914,             0.05816,             0.12599,           0.0052817,            0.000694,            0.000694,            0.000694
                  49,            0.061714,             0.16998,           0.0049799,             0.70085,             0.59947,              0.6298,             0.19115,            0.058021,             0.12589,           0.0052798,            0.000496,            0.000496,            0.000496
