               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061268,             0.14924,           0.0049594,             0.71258,             0.58705,             0.62975,             0.19196,            0.058204,             0.12565,           0.0052967,              0.0964,              0.0004,              0.0004
                   1,             0.06142,             0.15141,            0.004802,             0.69706,             0.53614,             0.57821,             0.18195,            0.058629,             0.12513,           0.0052924,            0.091882,          0.00088218,          0.00088218
                   2,             0.06099,             0.14765,           0.0044916,               0.701,             0.57304,             0.61586,             0.19122,            0.058253,             0.12527,           0.0053453,            0.087345,           0.0013446,           0.0013446
                   3,            0.061986,             0.16546,           0.0048824,             0.70632,             0.57094,              0.6092,             0.18876,            0.058049,             0.12571,           0.0053204,            0.082787,           0.0017871,           0.0017871
                   4,             0.06205,              0.1594,           0.0048389,             0.64162,             0.59259,             0.59684,             0.18322,            0.058485,             0.12565,            0.005208,             0.07821,           0.0022099,           0.0022099
                   5,            0.062444,             0.14264,           0.0047905,              0.6705,             0.58177,             0.60017,               0.182,            0.058127,             0.12639,           0.0052749,            0.073613,           0.0026129,           0.0026129
                   6,            0.060973,             0.15302,           0.0046878,             0.65278,             0.58855,              0.5881,             0.18659,            0.058593,             0.12541,           0.0053202,            0.068996,           0.0029961,           0.0029961
                   7,            0.062417,             0.16178,            0.004909,             0.55626,             0.56657,              0.5101,             0.15728,            0.060439,             0.12436,           0.0052373,            0.064359,           0.0033595,           0.0033595
                   8,            0.063773,             0.16899,           0.0049472,             0.47851,             0.54896,             0.47728,             0.14085,            0.060871,             0.12557,           0.0051945,            0.059703,            0.003703,            0.003703
                   9,            0.067484,              0.1697,           0.0052663,             0.41428,             0.59839,              0.4166,             0.11968,            0.062017,             0.12562,           0.0050794,            0.055027,           0.0040268,           0.0040268
                  10,             0.06254,             0.14971,           0.0045329,             0.38298,             0.50391,             0.35973,            0.093781,            0.064083,             0.12245,           0.0050957,            0.050331,           0.0043308,           0.0043308
                  11,            0.066772,              0.1577,           0.0047336,              0.3517,             0.54209,             0.36059,             0.10941,            0.065349,             0.12238,           0.0051466,            0.045615,            0.004615,            0.004615
                  12,            0.068225,             0.16413,            0.004836,             0.41286,             0.57553,             0.39613,             0.12102,            0.062772,             0.12272,           0.0051108,            0.040879,           0.0048794,           0.0048794
                  13,            0.064887,             0.14197,           0.0043522,              0.4388,             0.47292,             0.37523,             0.11123,            0.069211,             0.11659,            0.005204,            0.036124,           0.0051239,           0.0051239
                  14,            0.068511,              0.1521,             0.00442,             0.34077,               0.548,             0.36925,             0.10618,             0.06523,               0.121,           0.0051994,            0.031349,           0.0053487,           0.0053487
                  15,            0.068085,             0.14694,           0.0043693,             0.43255,             0.52869,             0.42512,             0.12108,            0.063947,             0.12202,           0.0051203,            0.026554,           0.0055537,           0.0055537
                  16,            0.064192,             0.15966,           0.0044013,             0.31977,             0.53336,             0.32584,            0.098549,            0.066655,             0.12074,           0.0050678,            0.021739,           0.0057389,           0.0057389
                  17,            0.070137,             0.15197,           0.0047913,             0.55676,             0.53319,             0.50286,               0.162,            0.064675,             0.12107,           0.0051079,            0.016904,           0.0059043,           0.0059043
                  18,            0.067736,             0.14177,           0.0041894,             0.37839,             0.44844,             0.34754,            0.096192,            0.066016,             0.12303,           0.0052041,             0.01205,           0.0060498,           0.0060498
                  19,              0.0611,             0.14013,           0.0038777,             0.32631,             0.46506,             0.30757,            0.096114,            0.068612,             0.12088,           0.0052535,           0.0071756,           0.0061756,           0.0061756
                  20,            0.072079,             0.15629,           0.0046923,             0.30299,             0.57241,             0.33319,            0.098052,            0.066059,             0.12252,           0.0052541,             0.00604,             0.00604,             0.00604
                  21,            0.070747,             0.14624,           0.0044438,             0.32192,              0.4816,             0.28846,            0.084559,            0.067706,             0.12165,            0.005242,             0.00604,             0.00604,             0.00604
                  22,            0.069269,             0.16524,           0.0047523,             0.54985,             0.53389,             0.47682,             0.14174,            0.063169,             0.12373,           0.0051653,            0.005842,            0.005842,            0.005842
                  23,            0.063145,             0.15763,           0.0045471,             0.31148,             0.50854,             0.28586,            0.071523,            0.069911,             0.11859,           0.0049509,            0.005644,            0.005644,            0.005644
                  24,            0.068713,             0.14186,           0.0038669,             0.61405,             0.55924,              0.5554,             0.17756,            0.059669,             0.12462,           0.0049441,            0.005446,            0.005446,            0.005446
